repo,path,sha,version,n_correlationIds,locations,location_classes,protocols,duplex_channel,reqreply_naming
4g3nt4333/Ascy-website,public/resources/casestudies/adeo/asyncapi.yaml,ebc2e682004b002c0b2f863a29d094fc9a9c2fe8,2.4.0,5,$message.header#/REQUEST_ID,header:5,kafka,False,True
LowellObservatory/Lorax,PWMountAgent/extern/example_api.yaml,8329944ffcaa6c8ec8fcc7d615ede46a2272ad06,2.0.0,4,$message.header#/x-correlation-id,header:4,amqp|mqtt,False,False
OI4/oi4-oec-service,packages/oi4-oec-asyncapi/asyncapi.yaml,9c13611625d066130e41bcd9e708bf9b9c518a25,2.3.0,23,$message.header#/correlationId,header:23,mqtt,False,False
Redocly/redocly-cli,resources/async.yaml,41f5a2032602e06fd8dbb3f4be95d7268583d7f6,2.6.0,5,$message.payload#/sentAt,payload:5,amqp|http|kafka|mqtt,False,False
The-Microservice-Dungeon/game,doc/asyncapi-doc.yaml,d967911eef1ada4f595f6e0fa52ee16f6a21dba4,2.2.0,7,$message.header#/transactionId,header:7,kafka,False,False
The-Microservice-Dungeon/gamelog,docs/event-spec.yaml,391fa16c43cd853eea0ced7d9825b423f59e639f,2.2.0,2,$message.header#/transactionId,header:2,kafka,False,False
The-Microservice-Dungeon/robot,swagger/v3/asyncapi.yaml,2e70dcb645934e8b92a6de939e2b76178a3bddd2,2.2.0,25,$message.header#/transactionId,header:25,kafka,False,False
The-Microservice-Dungeon/robot,swagger/v4/asyncapi.yaml,ae63d5b2f27ac5491ec136652e9f8b874182c0dc,2.2.0,21,$message.header#/transactionId,header:21,kafka,False,False
The-Microservice-Dungeon/robot,swagger/v5/asyncapi.yaml,be09ec8f138574693df4218ac3d55a3fd03702fa,2.2.0,25,$message.header#/transactionId,header:25,kafka,False,False
The-Microservice-Dungeon/trading,swagger/v1/asyncAPI.yaml,4f87db40be1639f8dbb3267c38f1207fcb412ad2,2.2.0,10,$message.header#/transactionId,header:10,kafka,False,False
TykTechnologies/graphql-translator,asyncapi/fixtures/print-service-api-2.0.0.yaml,eaf7b9e7fb9a217f382082505bb4ea0248ff68aa,2.0.0,4,$message.header#/x-correlation-id,header:4,amqp|mqtt,False,False
aml-org/als,als-actions/shared/src/test/resources/actions/hover/async-api20-full.yaml,ffe72f03837fa3e8090a3e99af135b87f5300748,2.0.0,8,$message.header#/correlationId,header:8,amqp|kafka,True,False
aml-org/amf,amf-cli/shared/src/test/resources/cycle/async20/correlation-id/api.yaml,abd6fa73683ee3fe09e9c000b9193d632982a295,2.0.0,1,$message.header#/correlationId,header:1,undetermined,False,False
aml-org/amf,amf-cli/shared/src/test/resources/upanddown/cycle/async20/components/components-cycle.yaml,beff0437001a4c72d7555537f3403a3da1b09f00,2.0.0,3,$message.header#/correlationId,header:3,amqp,False,False
aml-org/amf,amf-cli/shared/src/test/resources/upanddown/cycle/async20/rpc-server.yaml,fde257ad49dff576f67dcc1d2d00c5e500e7e962,2.0.0,2,$message.header#/correlation_id,header:2,amqp,False,False
aml-org/amf,amf-cli/shared/src/test/resources/validations/async20/components/async-components.yaml,dab7330cf919685e2709250728161a7db3ffc9d3,2.0.0,2,$message.header#/correlationId,header:2,amqp,True,False
aml-org/amf,amf-cli/shared/src/test/resources/validations/async20/message-obj.yaml,f7aff3160e35e88bbdf8ae5f03ee45268a543e16,2.0.0,1,$message.header#/MQMD/CorrelId,header:1,undetermined,False,False
aml-org/amf,amf-cli/shared/src/test/resources/validations/async20/rpc-server.yaml,48e7f2fd2ebd221fbcd7e38d27cd3d9df1c3038a,2.0.0,2,$message.header#/correlation_id,header:2,amqp,False,False
aml-org/amf,amf-cli/shared/src/test/resources/validations/async20/validations/invalid-component-names.yaml,8a564bcadf14b9a4065bb38befd664c8fc7ece17,2.0.0,2,$message.header#/correlationId,header:2,undetermined,False,False
aml-org/amf,amf-cli/shared/src/test/resources/validations/async20/validations/invalid-runtime-expressions.yaml,5be2fe2f9669aa83a4f4c4bbabd70d4b6ea6ed92,2.0.0,1,not a valid runtime expression,other:1,undetermined,False,False
aml-org/amf-metadata,transform/src/test/resources/specs/async20/components/async-components.yaml,6e39231269ecb69ee8731fa07af5b0f41140a0f7,2.0.0,2,$message.header#/correlationId,header:2,amqp,True,False
aml-org/amf-metadata,transform/src/test/resources/specs/async20/message-obj.yaml,34aab23da09e484f4484a02f5ad97574caaff42d,2.0.0,1,$message.header#/MQMD/CorrelId,header:1,undetermined,False,False
asyncapi/bundler,tests/gh-185.yaml,74b79651983e58758fc9d63a26140b0ac452118d,2.0.0,1,$message.header#/correlation_id,header:1,amqp,False,False
asyncapi/dotnet-rabbitmq-template,example/asyncapi.yaml,9b47afb80cbd32c801a3a0546dc23b76837d7df5,2.2.0,2,$message.header#/correlation_id,header:2,amqp,True,False
asyncapi/dotnet-rabbitmq-template,example/publisher.yaml,b2bdfc529d65f278216c027d1a6dc36ff12d9b7a,2.2.0,1,$message.header#/correlation_id,header:1,amqp,False,False
asyncapi/dotnet-rabbitmq-template,example/subscriber.yaml,170616f90ef15f7c8eac12750a28550a0058e8e8,2.2.0,1,$message.header#/correlation_id,header:1,amqp,False,False
asyncapi/tck,tests/asyncapi-2.0/Components Object/invalid-correlationIds-key.yaml,6cbea6dda3e702cc20cf6400351e8cf56121df5b,2.0.0,1,$message.header#/correlationId,header:1,undetermined,False,False
asyncapi/tck,tests/asyncapi-2.0/Components Object/valid-complete.yaml,47bd27a98e35f745066950b0e3cb9d59dc4097d9,2.0.0,6,$message.header#/correlationId,header:6,kafka,False,False
asyncapi/tck,tests/asyncapi-2.0/Correlation ID Object/Fields Types/invalid-description-type.yaml,63afaba9e8c61fcb42686cc2b6c4a2c57a19da1d,2.0.0,2,$message.header#/correlationId,header:2,undetermined,False,False
