repo,path,sha,version,opId,requestChannel,replyChannel,replyAddress,sameChannel,replyScopedProtocols,viaAllServers,docLevelProtocols
ambihome-gmbh/asyncapi,examples/multi_stack/priv/schema/service.yaml,f905c50d43f41b7b45b4b3e65be972607f18b1db,3.0.0,create,#/channels/create,#/channels/create_response,,False,mqtt,True,mqtt
ambihome-gmbh/asyncapi,examples/multi_stack/priv/schema/service.yaml,f905c50d43f41b7b45b4b3e65be972607f18b1db,3.0.0,pop,#/channels/pop,#/channels/pop_response,,False,mqtt,True,mqtt
lerenn/asyncapi-codegen,test/v3/issues/148/asyncapi.yaml,7fb0650f39a48f6eac1dafe5914859ca9df8a594,3.0.0,GetServiceInfo,#/channels/reception,#/channels/reply,{'location': '$message.header#/replyTo'},False,undetermined,True,
Netcracker/qubership-apihub-api-processor,test/projects/asyncapi-changes/operation/change-reply/after.yaml,7fb7eddb6d9ceeda1dc0e89731878ba27b82f336,3.0.0,operation1,#/channels/channel1,,"{'location': '$message.header#/replyTo', 'description': 'Reply to the new address'}",False,undetermined,True,
lerenn/asyncapi-codegen,test/v3/issues/181/asyncapi.yaml,9ee87f309961fa36814c299dd47a5276d3ca2a00,3.0.0,GetServiceInfo,#/channels/request,#/channels/reply,{'location': '$message.header#/replyTo'},False,undetermined,True,
G-USI/asyncapi-python,examples/amqp-rpc/spec/server.asyncapi.yaml,ada0dcb9252df5741136bc685db4d0ee609b0230,3.0.0,onPingRequest,./common.asyncapi.yaml#/channels/ping,./common.asyncapi.yaml#/channels/pong,,False,undetermined,False,
OAI/Arazzo-Specification,examples/1.1.0/pet-asyncapi.yaml,3c7d1efcc1f92e9dfd9da548d0616fe25a4e41b3,3.0.0,placeOrder,#/channels/place-order,#/channels/confirm-order,,False,kafka,True,kafka
aklivity/zilla-demos,extras-containers/todo/todo-command-service/src/main/api/todo-service-asyncapi-v3.yaml,d315ae8e83a2d9d6994dd136f5da14b51162242f,3.0.0,createTask,,,,False,undetermined,False,kafka
aklivity/zilla-demos,extras-containers/todo/todo-command-service/src/main/api/todo-service-asyncapi-v3.yaml,d315ae8e83a2d9d6994dd136f5da14b51162242f,3.0.0,updateTask,,,,False,undetermined,False,kafka
aklivity/zilla-demos,extras-containers/todo/todo-command-service/src/main/api/todo-service-asyncapi-v3.yaml,d315ae8e83a2d9d6994dd136f5da14b51162242f,3.0.0,deleteTask,,,,False,undetermined,False,kafka
Ravip2006/Demo,io/specmatic/examples/store/asyncapi/3_0_0/order_service_async_v1.yaml,49257f9dd8e3532e8d064897cb2e3a135c184557,3.0.0,onPlaceOrder,#/channels/place-order,#/channels/process-order,,False,undetermined,True,
aklivity/todo-service,src/main/api/todo-service-asyncapi-v3.yaml,3ef4a3a1fd0cdc158c3d8c62c79e659e0dd85422,3.0.0,createTask,,,,False,undetermined,False,kafka
aklivity/todo-service,src/main/api/todo-service-asyncapi-v3.yaml,3ef4a3a1fd0cdc158c3d8c62c79e659e0dd85422,3.0.0,renameTask,,,,False,undetermined,False,kafka
aklivity/todo-service,src/main/api/todo-service-asyncapi-v3.yaml,3ef4a3a1fd0cdc158c3d8c62c79e659e0dd85422,3.0.0,deleteTask,,,,False,undetermined,False,kafka
Forsakringskassan/gradle-conventions,examples/asyncapi/asyncapi.yaml,82dc4efffb49ffb99bdd579e3c513850d2aedf7d,3.0.0,onVahRtfRequest,#/channels/vah.rtf.requests,#/channels/vah.rtf.responses,"{'description': 'Resultatet skickas tillbaka till källan.', 'location': '$message.header#/replyTo'}",False,undetermined,True,
stardew-valley-dedicated-server/web,asyncapi.yaml,adc8e54348824d34aa0743bd45e9d7c0e3d1c6df,3.0.0,updateMap,#/channels/root,#/channels/root,,True,undetermined,True,
specmatic/docs.specmatic.io,docs/supported_protocols/asyncapi/includes/index/order-service-sut/spec/order-service.yaml,f2b7a4b9053d10509685fc0bd45e58793f1c3378,3.0.0,sendOrder,#/channels/placeOrder,#/channels/wipOrder,,False,kafka|sqs,False,kafka|sqs
specmatic/docs.specmatic.io,docs/supported_protocols/asyncapi/includes/index/order-service-mock/spec/order-service.yaml,0af1078b3e38a00c07420eb976294d92e2dea8e2,3.0.0,sendOrder,#/channels/placeOrder,#/channels/wipOrder,,False,kafka|sqs,False,kafka|sqs
specmatic/specmatic-kafka-avro-sample,api-specs/order-service-async-avro-v3_0_0.yaml,1c5c027250461ecd9605a107c4e1d8da24f3713f,3.0.0,placeOrder,#/channels/new-orders,#/channels/wip-orders,,False,undetermined,True,kafka
Redocly/redocly-cli,tests/e2e/split/asyncapi3-complex/asyncapi.yaml,2d38bc1a0b6539dc4bd44f50a2761379a62b0475,3.0.0,receiveUserLoggedIn,#/channels/userLoggedIn,,,False,undetermined,True,
znsio/specmatic-async-order-api-kotlin,spec/order_service_async_v1.yaml,607681049fa61d0745fd0f29e243a1230265fef2,3.0.0,createOrder,#/channels/create-order-request,#/channels/create-order-reply,,False,undetermined,True,
specmatic/studio-demo,specs/workflow/asyncapi/order.yaml,4e80c4655a923452088e9388fa1202ba27a8f848,3.0.0,PlaceOrder,#/channels/place-order,#/channels/process-order,,False,kafka,True,kafka
sillygod/scaffold,go-web/{{ cookiecutter.project_slug }}/asyncapi.yaml,456a65fd3cd4e84d0fc0a426b909fbf029bf86d1,3.0.0,pricefeedRequest,#/channels/pricefeed_request,#/channels/pricefeed,,False,wss,True,wss
sillygod/scaffold,go-web/{{ cookiecutter.project_slug }}/asyncapi.yaml,456a65fd3cd4e84d0fc0a426b909fbf029bf86d1,3.0.0,pingRequest,#/channels/ping,#/channels/pong,,False,wss,True,wss
stardew-valley-dedicated-server/asyncapi-generator-template-ts,test/fixtures/asyncapi.yaml,4973ad719aa1519335835bf43ae5be1d4df6da3e,3.0.0,updateMapData,#/channels/root,#/channels/root,,True,undetermined,True,
specmatic/enterprise-sample,specs/inventory-asyncapi.yaml,93bdbc5129a34aa76f7146ebb20b6c4d638e9e0b,3.0.0,receiveReserveCommand,#/channels/inventory.reserve.cmd,#/channels/inventory.reserve.reply,,False,kafka,True,kafka
specmatic/enterprise-sample,specs/placeorder-asyncapi.yaml,7545dea431021c5ad9ba4f1d90425c84320847f7,3.0.0,receivePlaceOrderCommand,#/channels/orders.place.cmd,#/channels/orders.place.reply,,False,kafka,True,kafka
specmatic/labs-contracts,asyncapi/kafka-avro/order-service-async-avro-v3_0_0.yaml,888b03be6588bd8a0415e4e46a9235774224c6f0,3.0.0,placeOrder,#/channels/new-orders,#/channels/wip-orders,,False,undetermined,True,kafka
specmatic/enterprise-sample,specs/payment-asyncapi.yaml,8f14394db90803ba53b93cbf510e0fbe6c310028,3.0.0,receiveAuthorizeCommand,#/channels/payment.authorize.cmd,#/channels/payment.authorize.reply,,False,kafka,True,kafka
specmatic/specmatic-arazzo-openapi-asyncapi-sample,specifications/asyncapi/order.yaml,84f986b2f494c3fc73aafa096c1f8badbb4dc847,3.0.0,createOrder,#/channels/newOrders,#/channels/wipOrders,,False,kafka,True,kafka
specmatic/specmatic-order-contracts,io/specmatic/examples/store/asyncapi/3_0_0/order_service_async_v1.yaml,7e6135c5cbf9a699ce3560ae39e6d96a72987331,3.0.0,onPlaceOrder,#/channels/place-order,#/channels/process-order,,False,undetermined,True,
eclipse-uprotocol/symphony-target-example-rust,uservice/asyncapi.yaml,97a5ec0f06b9ae96f9f3ef1525a0891b33a69e99,3.0.0,Get,#/channels/getRequests,#/channels/getResponses,,False,undetermined,True,
eclipse-uprotocol/symphony-target-example-rust,uservice/asyncapi.yaml,97a5ec0f06b9ae96f9f3ef1525a0891b33a69e99,3.0.0,Update,#/channels/updateRequests,#/channels/updateResponses,,False,undetermined,True,
eclipse-uprotocol/symphony-target-example-rust,uservice/asyncapi.yaml,97a5ec0f06b9ae96f9f3ef1525a0891b33a69e99,3.0.0,Delete,#/channels/deleteRequests,#/channels/deleteResponses,,False,undetermined,True,
evryfs/asyncapi-generator,asyncapi-generator-core/src/test/resources/parser/operations/asyncapi_parser_operations_valid.yaml,a6b1114799b86ba15154c8dc04120f9f10883a1d,3.0.0,receiveLightMeasurement,#/channels/lightingMeasured,#/channels/lightingMeasured,{'location': '$message.header#/replyTo'},True,undetermined,True,amqp
lerenn/asyncapi-codegen,test/v3/issues/130/requestreply/asyncapi.yaml,8e438beeb6de42354b6a2f4aa97a21a8682db1ca,3.0.0,ping,#/channels/ping,#/channels/pong,,False,undetermined,True,
lerenn/asyncapi-codegen,test/v3/issues/130/requestreply/asyncapi.yaml,8e438beeb6de42354b6a2f4aa97a21a8682db1ca,3.0.0,pingWithID,#/channels/pingWithID,#/channels/pongWithID,,False,undetermined,True,
the-codegen-project/cli,test/configs/asyncapi-request.yaml,911546e2f8516cac46cb651f2a533c00a3a85c35,3.0.0,pongResponse,#/channels/ping,#/channels/ping,,True,http,True,http
codemonstersteam/pinout-asyncapi,testdata/channel_validator/provider.yaml,9496c0f10a2a465e34eaafc541e0638091dd221c,3.0.0,receiveUserEvent,#/channels/notifications~1user-events,#/channels/notifications~1user-events,,True,amqp,True,amqp
zuevrs/yanote,yanote-js/test/fixtures/asyncapi/spring-rabbitmq-two-service.yaml,8baed0b2072b771dc74049d8d8659e5f39298b98,3.0.0,amqp receive users.created,#/channels/userCreated,#/channels/userCreated,{'location': '$message.header#/reply_to'},True,amqp,True,amqp
zuevrs/yanote,yanote-js/test/fixtures/asyncapi/spring-kafka-single-service-republish.yaml,868785e9ff49485f5e34b77c6adee470c2f8c604,3.0.0,receiveUserCreated,#/channels/userCreated,#/channels/userCreated,{'location': '$message.header#/reply_to'},True,kafka,True,kafka
zuevrs/yanote,yanote-js/test/fixtures/asyncapi/spring-kafka-single-service-republish.yaml,868785e9ff49485f5e34b77c6adee470c2f8c604,3.0.0,receiveUserRepublished,#/channels/userRepublished,#/channels/userRepublished,{'location': '$message.header#/reply_to'},True,kafka,True,kafka
zuevrs/yanote,yanote-js/test/fixtures/asyncapi/spring-kafka-two-service.yaml,8a71b233004eb021378be55c75063782d02901df,3.0.0,receiveUserCreated,#/channels/userCreated,#/channels/userCreated,{'location': '$message.header#/reply_to'},True,kafka,True,kafka
specmatic/labs,arazzo-workflow-testing/specs/asyncapi/order.yaml,be8dd7b6442620e07fe0fc9df629ec3f12cdb7fd,3.0.0,createOrder,#/channels/newOrders,#/channels/wipOrders,,False,kafka,True,kafka
Forsakringskassan/template-asyncapi,asyncapi.yaml,b04ae501208c6380dfdc58ccad7ba2f36d1f8784,3.0.0,onExempelRtfRequest,#/channels/exempel.rtf.requests,#/channels/exempel.rtf.responses,"{'description': 'Resultatet skickas tillbaka till källan.', 'location': '$message.header#/replyTo'}",False,undetermined,True,
specmatic/aws-lambda-kafka-with-localstack,api-specifications/order-service-async-v3_0_0.yaml,c382ae17f01e4607eff337e4ed35c8ce25738068,3.0.0,cancelOrder,#/channels/cancel-order,#/channels/process-cancellation,,False,undetermined,True,
Forsakringskassan/rimfrost-regel-rtf-manuell-asyncapi,asyncapi.yaml,b994b3aabdc7f7165634f94c2e107a49b7bcfab6,3.0.0,RtfManuellRequest,#/channels/rtf.manuell.requests,#/channels/rtf.manuell.responses,"{'description': 'Resultatet skickas tillbaka till källan.', 'location': '$message.header#/replyTo'}",False,undetermined,True,
specmatic/specmatic,application/src/test/resources/specifications/asyncapi.yaml,afe0bc0f64bce6b5e839d20b0ab4f4ac2405d7ed,3.0.0,pingRequest,#/channels/ping_v2,#/channels/pong,,False,undetermined,True,
Netcracker/qubership-integration-runtime-catalog,src/test/resources/asyncapi/v3/kafka-v3-channel-ref-messages.yaml,b76fa7b36e5dce99ebdadde7c34d0d461cb0d691,3.0.0,receiveWithReply,#/channels/inlineChannel,#/channels/replyTargetChannel,,False,undetermined,True,
lerenn/asyncapi-codegen,examples/ping/v3/asyncapi.yaml,f8368c9a002096fc8e189f3f829760f350d09b7e,3.0.0,pingRequest,#/channels/ping,#/channels/pong,,False,undetermined,True,
specmatic/aws-lambda-kafka-with-localstack,xml_to_json.yaml,f9afeca6ce6320234a6645176a7bccb5c8a33742,3.0.0,jsonConversion,#/channels/io.specmatic.json.request,#/channels/io.specmatic.json.reply,,False,undetermined,True,
specmatic/labs-contracts,asyncapi/quick-start/async.yaml,f872c56bc31b23923811b9c50f6630fc067ca4d2,3.0.0,placeOrder,#/channels/NewOrderPlaced,#/channels/OrderInitiated,,False,kafka,True,kafka
G-USI/asyncapi-python,tests/codegen/specs/rpc.yaml,f0e3d1cb3f4516677084216a7b0fa34c6b4b38d3,3.0.0,user.process,#/channels/user_requests,#/channels/user_responses,,False,undetermined,True,
microcks/microcks,webapp/src/test/resources/io/github/microcks/util/asyncapi/user-signedup-asyncapi-3.0-reply.yaml,fd93985ed0a57d38a0882d98d8ca77ef0486d1b8,3.0.0,onUserSignup,#/channels/userSignup,#/channels/userSignupReply,,False,googlepubsub,True,googlepubsub
microcks/microcks,webapp/src/test/resources/io/github/microcks/util/asyncapi/user-signedup-asyncapi-3.0-reply.yaml,fd93985ed0a57d38a0882d98d8ca77ef0486d1b8,3.0.0,onEmailVerification,#/channels/emailVerification,#/channels/emailVerificationReply,{'location': '$message.header#/replyTo'},False,googlepubsub,True,googlepubsub
